id,name,party,sector,country
uvdl,Ursula von der Leyen,CDU,Politik,deutschland
lk,Lars Klingbeil,SPD,Polittik,deutschland
nr,Norbert Röttgen,CDU,Politik,deutschland
sw,Sahra Wagenknecht,Die Linke,Politik,deutschland
cs,Constanze Stelzenmüller,,Jura,usa
cl,Christian Lindner,FDP,Politik,deutschland
ks,Karl Schlögel,,Geschichte,deutschland
lm,Ljudmyla Melnyk,,Wissenschaft ,ukraine
kd,Kristina Dunz,,Medien ,deutschland
el,Egils Levits,,Politik,lettland
ab,Annalena Baerbock,Bündnis 90/​Die Grünen,Politik,deutschland
ft,Frans Timmermans,,Politik,deutschland
am,Andrij Melnyk,,Politik,ukraine
agl,Alexander Graf Lambsdorff,FDP,Politik,deutschland
er,Egon Ramms,,Politik,deutschland
rh,Robert Habeck,Bündnis 90 /​ Die Grünen,Politik,deutschland
cm,Claudia Major,,Politik,deutschland
kp,Katja Petrowskaja,,Wissenschaft ,deutschland/ukraine
rk,Roderich Kiesewetter ,CDU,Politik,deutschland
